distance,spectrumID,i
0.29469959475355,spec-6713-56402-0294.fits,448
0.357747886751483,spec-6489-56329-0866.fits,1768
0.362918010259459,spec-6052-56092-0294.fits,1257
0.366043808303302,spec-5436-56015-0440.fits,589
0.36664861599624,spec-6303-56539-0090.fits,991
0.369477806691039,spec-6452-56366-0270.fits,185
0.369823627168725,spec-5302-55896-0513.fits,366
0.379043883515951,spec-4690-55653-0140.fits,2353
0.379529486280444,spec-4058-55358-0100.fits,1126
0.380343693171997,spec-5783-56017-0903.fits,1526
0.3891138288052,spec-3804-55267-0936.fits,29
0.395222638331168,spec-5172-56071-0705.fits,1080
0.395515540695201,spec-6184-56267-0854.fits,754
0.396015949142066,spec-3665-55247-0718.fits,1156
0.397493695770183,spec-3679-55209-0232.fits,72
0.399097424818868,spec-4221-55443-0556.fits,1164
0.404021736582593,spec-4783-55652-0180.fits,176
0.404971268734307,spec-3866-55623-0134.fits,356
0.406124990528885,spec-5461-56018-0838.fits,535
0.40770220244139,spec-5320-55999-0680.fits,856
0.408300568227242,spec-4837-55707-0560.fits,878
0.414376943921355,spec-6673-56419-0318.fits,359
0.416927673896079,spec-5768-56017-0792.fits,1145
0.418196321291686,spec-4452-55536-0019.fits,405
0.419020353042305,spec-5771-56011-0362.fits,1193
0.419138944936343,spec-4211-55446-0538.fits,1440
0.421611083459675,spec-4227-55481-0937.fits,220
0.42181615368078,spec-4766-55677-0472.fits,757
0.422611726161604,spec-3586-55181-0634.fits,1186
0.423361881483069,spec-4375-55889-0334.fits,980
0.423522211325706,spec-3757-55508-0408.fits,399
0.423696507009743,spec-5361-55973-0680.fits,175
0.423871816024713,spec-6055-56102-0884.fits,1166
0.42417424672827,spec-4860-55691-0180.fits,2071
0.424233724959201,spec-6164-56181-0678.fits,149
0.425346668492265,spec-6411-56331-0302.fits,682
0.426359419631349,spec-6873-56541-0624.fits,354
0.426852978572075,spec-6838-56429-0064.fits,462
0.427262203312581,spec-4979-56045-0796.fits,238
0.427586167393379,spec-4242-55476-0852.fits,1807
0.427601174486044,spec-4834-55685-0798.fits,729
0.4279799974867,spec-4227-55481-0027.fits,690
0.429079082441016,spec-4538-55860-0742.fits,1139
0.429226150414373,spec-7081-56684-0350.fits,980
0.430075217695908,spec-6663-56338-0946.fits,896
0.431493768590024,spec-6664-56383-0936.fits,386
0.432346523596447,spec-5164-56067-0894.fits,1899
0.432831271769769,spec-4889-55709-0922.fits,858
0.432953150696938,spec-5165-56063-0877.fits,1086
0.433637425369977,spec-3769-55240-0558.fits,1103
0.434821605277059,spec-7400-57134-0696.fits,666
0.435265672675263,spec-7257-56658-0345.fits,64
0.435468074671919,spec-5368-56001-0828.fits,296
0.435844240198407,spec-5772-56003-0842.fits,1323
0.436195633093627,spec-3793-55214-0542.fits,104
0.43815881207915,spec-7155-56629-0104.fits,1563
0.438536237368802,spec-5418-56037-0940.fits,1070
0.438662350597471,spec-6023-56069-0112.fits,2249
0.440509451436495,spec-6720-56390-0594.fits,277
0.442150700029569,spec-4444-55538-0900.fits,256
0.442272361123204,spec-6836-56443-0752.fits,337
0.442562041827832,spec-5306-55926-0962.fits,541
0.442886213956241,spec-5475-56011-0394.fits,252
0.443815081446074,spec-4839-55703-0086.fits,1111
0.445870970825215,spec-5420-56009-0709.fits,1038
0.445969049629654,spec-3825-55533-0358.fits,172
0.447244683769658,spec-4192-55469-0350.fits,750
0.447437994959463,spec-3852-55243-0748.fits,1598
0.447481169349696,spec-7325-56717-0292.fits,344
0.448247206930437,spec-4006-55328-0784.fits,1136
0.448473145715008,spec-4864-55680-0360.fits,454
0.448680901862531,spec-6409-56306-0204.fits,443
0.448917333427041,spec-7256-56658-0397.fits,666
0.449302235833112,spec-7421-57159-0614.fits,1044
0.4494943107862,spec-5407-55926-0447.fits,766
0.449512882164587,spec-5985-56089-0260.fits,1037
0.449992147475669,spec-6049-56091-0184.fits,206
0.450102468936893,spec-6665-56390-0442.fits,871
0.450290808602384,spec-7449-56740-0158.fits,926
0.450463725500278,spec-7254-56625-0443.fits,69
0.451630149598957,spec-5957-56210-0880.fits,513
0.451854487321613,spec-6746-56386-0120.fits,201
0.452242502165152,spec-7253-56598-0446.fits,70
0.452760615238407,spec-6014-56072-0776.fits,563
0.453279885189378,spec-6795-56425-0654.fits,758
0.453380575853693,spec-6627-56369-0194.fits,2096
0.454038538882324,spec-6821-56396-0100.fits,248
0.454508489343445,spec-6783-56284-0978.fits,60
0.454966520031719,spec-6388-56309-0582.fits,2328
0.455328273209959,spec-5878-56033-0198.fits,1053
0.455735161514191,spec-5466-56033-0088.fits,834
0.455742177256896,spec-4238-55455-0010.fits,224
0.455786376510225,spec-6455-56370-0206.fits,1100
0.456020939487983,spec-6470-56334-0318.fits,604
0.456139579016393,spec-5024-55854-0104.fits,1402
0.456320063383395,spec-7254-56625-0488.fits,69
0.456674173902584,spec-3942-55338-0411.fits,307
0.456811404576078,spec-7101-56659-0122.fits,165
0.456858880636851,spec-4742-55660-0846.fits,1134
0.456990619107941,spec-7253-56598-0287.fits,71